พลอย,ต.หลักหก อ.เมืองปทุมธานี จ.ปทุมธานี 12000,เขตพื้นที่การศึกษาปทุมธานี เขต 1
พันเสา,ต.พันเสา อ.บางระกำ จ.พิษณุโลก 65140,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
พุกระโดน,ต.ไทรย้อย อ.เนินมะปราง จ.พิษณุโลก 65190,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
พัฒนาดงน้อย,ต.บ้านน้อยซุ้มขี้เหล็ก อ.เนินมะปราง จ.พิษณุโลก 65190,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
พนมกาว,ต.หนองปล้อง อ.วังทรายพูน จ.พิจิตร 66180,เขตพื้นที่การศึกษาพิจิตร เขต 1
พนานิคม,ต.บ้านโตก อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์ 67000,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 1
พี้,ต.บ้านโตก อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์ 67000,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 1
พลำ,ต.ป่าเลา อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์ 67000,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 1
พรวน,ต.หล่มเก่า อ.หล่มเก่า จ.เพชรบูรณ์ 67120,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
พร้าว,ต.บ้านเนิน อ.หล่มเก่า จ.เพชรบูรณ์ 67120,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
พรหมยาม,ต.สามแยก อ.วิเชียรบุรี จ.เพชรบูรณ์ 67130,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
พุขาม,ต.พุขาม อ.วิเชียรบุรี จ.เพชรบูรณ์ 67180,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
พรหมประชาสรรค์,ต.ภูน้ำหยด อ.วิเชียรบุรี จ.เพชรบูรณ์ 67180,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
พระที่นั่ง,ต.ภูน้ำหยด อ.วิเชียรบุรี จ.เพชรบูรณ์ 67180,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
พงษ์เพชรอนุสรณ์,ต.หนองไผ่ อ.หนองไผ่ จ.เพชรบูรณ์ 67140,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
พญาวัง,ต.พญาวัง อ.บึงสามพัน จ.เพชรบูรณ์ 67160,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
พนมเพชร,ต.ศรีมงคล อ.บึงสามพัน จ.เพชรบูรณ์ 67160,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
พุแค,ต.ปากช่อง อ.จอมบึง จ.ราชบุรี 70150,เขตพื้นที่การศึกษาราชบุรี เขต 1
พุตะเคียน,ต.แก้มอ้น อ.จอมบึง จ.ราชบุรี 70150,เขตพื้นที่การศึกษาราชบุรี เขต 1
พุม่วงราษฎรบำรุง,ต.แก้มอ้น อ.จอมบึง จ.ราชบุรี 70150,เขตพื้นที่การศึกษาราชบุรี เขต 1
พุลุ้ง(กรป.กลางอุปถัมภ์),ต.เขาชะงุ้ม อ.โพธาราม จ.ราชบุรี 70120,เขตพื้นที่การศึกษาราชบุรี เขต 2
พุคาย,ต.ทุ่งหลวง อ.ปากท่อ จ.ราชบุรี 70140,เขตพื้นที่การศึกษาราชบุรี เขต 1
พุเกตุ,ต.ห้วยยางโทน อ.ปากท่อ จ.ราชบุรี 70140,เขตพื้นที่การศึกษาราชบุรี เขต 1
พุบอนบน,ต.บ้านบึง อ.บ้านคา จ.ราชบุรี 70180,เขตพื้นที่การศึกษาราชบุรี เขต 1
พุเลียบ,ต.หนองบัว อ.เมืองกาญจนบุรี จ.กาญจนบุรี 71190,เขตพื้นที่การศึกษากาญจนบุรี เขต 1
พุเตย,ต.ท่าเสา อ.ไทรโยค จ.กาญจนบุรี 71150,เขตพื้นที่การศึกษากาญจนบุรี เขต 3
พุม่วง-พุพง,ต.ท่าเสา อ.ไทรโยค จ.กาญจนบุรี 71150,เขตพื้นที่การศึกษากาญจนบุรี เขต 3
พุองกะ,ต.ท่าเสา อ.ไทรโยค จ.กาญจนบุรี 71150,เขตพื้นที่การศึกษากาญจนบุรี เขต 3
พุปลู,ต.สิงห์ อ.ไทรโยค จ.กาญจนบุรี 71150,เขตพื้นที่การศึกษากาญจนบุรี เขต 3
พุพรหม,ต.หนองกุ่ม อ.บ่อพลอย จ.กาญจนบุรี 71160,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
พุรวก,ต.หนองกร่าง อ.บ่อพลอย จ.กาญจนบุรี 71140,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
พุน้ำเปรี้ยว,ต.ด่านแม่แฉลบ อ.ศรีสวัสดิ์ จ.กาญจนบุรี 72150,เขตพื้นที่การศึกษากาญจนบุรี เขต 3
พุบอน,ต.เลาขวัญ อ.เลาขวัญ จ.กาญจนบุรี 71210,เขตพื้นที่การศึกษากาญจนบุรี เขต 4
พรหมณี,ต.หนองปลิง อ.เลาขวัญ จ.กาญจนบุรี 71210,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
พยอมงาม,ต.หนองปลาไหล อ.หนองปรือ จ.กาญจนบุรี 71220,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
พนมนาง,ต.ดอนแสลบ อ.ห้วยกระเจา จ.กาญจนบุรี 71170,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
พุน้ำร้อน,ต.ด่านช้าง อ.ด่านช้าง จ.สุพรรณบุรี 72180,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
พุบ่องป่าขี,ต.ห้วยขมิ้น อ.ด่านช้าง จ.สุพรรณบุรี 72180,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
พาดหมอน,ต.คลองจินดา อ.สามพราน จ.นครปฐม 73110,เขตพื้นที่การศึกษานครปฐม เขต 2
พี่เลี้ยง (อิ่มอุทิศ),ต.ช่องสะแก อ.เมืองเพชรบุรี จ.เพชรบุรี 76000,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
พุพลู,ต.ท่าตะคร้อ อ.หนองหญ้าปล้อง จ.เพชรบุรี 76160,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
พุหวาย,ต.ห้วยทรายเหนือ อ.ชะอำ จ.เพชรบุรี 76150,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
พุตุม,ต.ห้วยลึก อ.บ้านลาด จ.เพชรบุรี 76150,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
พุเข็ม,ต.แก่งกระจาน อ.แก่งกระจาน จ.เพชรบุรี 76170,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
พุสวรรค์,ต.พุสวรรค์ อ.แก่งกระจาน จ.เพชรบุรี 76170,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
พุตะแบก,ต.เขาล้าน อ.ทับสะแก จ.ประจวบคีรีขันธ์ 77130,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 1
พุน้อย,ต.สามร้อยยอด อ.สามร้อยยอด จ.ประจวบคีรีขันธ์ 77120,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 2
พุใหญ่,ต.สามร้อยยอด อ.สามร้อยยอด จ.ประจวบคีรีขันธ์ 77180,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 2
พรุบัว,ต.นางหลง อ.ชะอวด จ.นครศรีธรรมราช 80180,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
พังปริง,ต.กลาย อ.ท่าศาลา จ.นครศรีธรรมราช 80160,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
พรพรหม,ต.ชะมาย อ.ทุ่งสง จ.นครศรีธรรมราช 80110,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
พูน,ต.กะปาง อ.ทุ่งสง จ.นครศรีธรรมราช 80130,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
พอโกบ,ต.ท่ายาง อ.ทุ่งใหญ่ จ.นครศรีธรรมราช 80240,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
พรุวง,ต.ดุสิต อ.ถ้ำพรรณรา จ.นครศรีธรรมราช 80220,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
พังหรัน,ต.นบพิตำ อ.นบพิตำ จ.นครศรีธรรมราช 80160,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
พิตำ,ต.กรุงชิง อ.นบพิตำ จ.นครศรีธรรมราช 80160,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
พระแอะ,ต.ศาลาด่าน อ.เกาะลันตา จ.กระบี่ 81150,เขตพื้นที่การศึกษากระบี่ เขต 1
พรุพี,ต.ทรายขาว อ.คลองท่อม จ.กระบี่ 81170,เขตพื้นที่การศึกษากระบี่ เขต 1
พรุดินนา,ต.พรุดินนา อ.คลองท่อม จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
พรุเตย,ต.เพหลา อ.คลองท่อม จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
พรุเตียว,ต.เพหลา อ.คลองท่อม จ.กระบี่ 81120,เขตพื้นที่การศึกษากระบี่ เขต 1
พรุใน,ต.พรุใน อ.เกาะยาว จ.พังงา 83000,เขตพื้นที่การศึกษาพังงา เขต 1
พอแดง,ต.ท้ายเหมือง อ.ท้ายเหมือง จ.พังงา 82120,เขตพื้นที่การศึกษาพังงา เขต 1
พรุจำปา,ต.เทพกระษัตรี อ.ถลาง จ.ภูเก็ต 83110,เขตพื้นที่การศึกษาภูเก็ต เขต 1
พารา,ต.ป่าคลอก อ.ถลาง จ.ภูเก็ต 83110,เขตพื้นที่การศึกษาภูเก็ต เขต 1
พรุยายชี,ต.ปากหมาก อ.ไชยา จ.สุราษฎร์ธานี 84110,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
พัฒนา,ต.เขาพัง อ.บ้านตาขุน จ.สุราษฎร์ธานี 84230,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
พัฒนา 2,ต.เขาพัง อ.บ้านตาขุน จ.สุราษฎร์ธานี 84230,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
พังกาญจน์,ต.พังกาญจน์ อ.พนม จ.สุราษฎร์ธานี 84250,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
พรหมรังสิต,ต.พ่วงพรมคร อ.เคียนซา จ.สุราษฎร์ธานี 84210,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
พรุแชง,ต.บ้านส้อง อ.เวียงสระ จ.สุราษฎร์ธานี 84190,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
พรุตะเคียน,ต.สลุย อ.ท่าแซะ จ.ชุมพร 86140,เขตพื้นที่การศึกษาชุมพร เขต 1
พังเหา,ต.ปังหวาน อ.พะโต๊ะ จ.ชุมพร 86180,เขตพื้นที่การศึกษาชุมพร เขต 2
พระรักษ์ราษฎร์บำรุง,ต.พระรักษ์ อ.พะโต๊ะ จ.ชุมพร 86180,เขตพื้นที่การศึกษาชุมพร เขต 2
พังเภา,ต.จะทิ้งพระ อ.สทิงพระ จ.สงขลา 90190,เขตพื้นที่การศึกษาสงขลา เขต 1
พอบิด,ต.ท่าประดู่ อ.นาทวี จ.สงขลา 90160,เขตพื้นที่การศึกษาสงขลา เขต 3
พรุหวา,ต.ประกอบ อ.นาทวี จ.สงขลา 90160,เขตพื้นที่การศึกษาสงขลา เขต 3
พระพุทธ,ต.เทพา อ.เทพา จ.สงขลา 90150,เขตพื้นที่การศึกษาสงขลา เขต 3
พรุตู,ต.เกาะสะบ้า อ.เทพา จ.สงขลา 90150,เขตพื้นที่การศึกษาสงขลา เขต 3
พรุหลุมพี,ต.สะกอม อ.เทพา จ.สงขลา 90150,เขตพื้นที่การศึกษาสงขลา เขต 3
พรุชิง,ต.ท่าม่วง อ.เทพา จ.สงขลา 90260,เขตพื้นที่การศึกษาสงขลา เขต 3
พรุพ้อ,ต.ท่าชะมวง อ.รัตภูมิ จ.สงขลา 90180,เขตพื้นที่การศึกษาสงขลา เขต 2
พังลา,ต.พังลา อ.สะเดา จ.สงขลา 90170,เขตพื้นที่การศึกษาสงขลา เขต 3
พรุเตียว,ต.สำนักขาม อ.สะเดา จ.สงขลา 90320,เขตพื้นที่การศึกษาสงขลา เขต 3
พระม่วง,อ.กันตัง จ.ตรัง 92110,เขตพื้นที่การศึกษาตรัง เขต 2
พรุใหญ่,อ.กันตัง จ.ตรัง 92110,เขตพื้นที่การศึกษาตรัง เขต 2
พรุเตย,อ.สิเกา จ.ตรัง 92150,เขตพื้นที่การศึกษาตรัง เขต 2
พรุจูด,อ.สิเกา จ.ตรัง 92220,เขตพื้นที่การศึกษาตรัง เขต 2
พน,อ.กงหรา จ.พัทลุง 93180,เขตพื้นที่การศึกษาพัทลุง เขต 1
พูด กรป.กลาง,อ.กงหรา จ.พัทลุง 93180,เขตพื้นที่การศึกษาพัทลุง เขต 1
พรุนายขาว,อ.ตะโหมด จ.พัทลุง 93160,เขตพื้นที่การศึกษาพัทลุง เขต 1
พ่อมิ่ง,อ.ปะนาเระ จ.ปัตตานี 94130,เขตพื้นที่การศึกษาปัตตานี เขต 1
พิเทน(วันครู 2502),อ.ทุ่งยางแดง จ.ปัตตานี 94140,เขตพื้นที่การศึกษาปัตตานี เขต 3
พอเหมาะ,อ.สายบุรี จ.ปัตตานี 94190,เขตพื้นที่การศึกษาปัตตานี เขต 3
พงยือไร,อ.เมืองยะลา จ.ยะลา 95000,เขตพื้นที่การศึกษายะลา เขต 1
พร่อน,อ.เมืองยะลา จ.ยะลา 95160,เขตพื้นที่การศึกษายะลา เขต 1
พงกูแว,อ.ยะหา จ.ยะลา 95120,เขตพื้นที่การศึกษายะลา เขต 2
พอแม็ง,อ.รามัน จ.ยะลา 95140,เขตพื้นที่การศึกษายะลา เขต 1
พรุ,อ.รามัน จ.ยะลา 95140,เขตพื้นที่การศึกษายะลา เขต 1
พะปูเงาะ,อ.รามัน จ.ยะลา 95140,เขตพื้นที่การศึกษายะลา เขต 1
พนาทักษิณ,อ.รือเสาะ จ.นราธิวาส 96150,เขตพื้นที่การศึกษานราธิวาส เขต 1