ครัววิทยา,แขวงถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร 10400,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
คำไหล,ต.คำเจริญ อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
คำแม่มุ่ย,ต.โนนสวาง อ.กุดข้าวปุ้น จ.อุบลราชธานี 34270,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
คำเกิ่งหนองจิก,ต.เตย อ.ม่วงสามสิบ จ.อุบลราชธานี 34140,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
คอนสาย,ต.โนนโหนน อ.วารินชำราบ จ.อุบลราชธานี 34190,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
คูเมือง(อ่อนอนุเคราะห์),ต.คูเมือง อ.วารินชำราบ จ.อุบลราชธานี 34190,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
คำนางรวย,ต.คำน้ำแซบ อ.วารินชำราบ จ.อุบลราชธานี 34190,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
คำขวาง,ต.คำขวาง อ.วารินชำราบ จ.อุบลราชธานี 34190,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
คำเจริญ,ต.แสนสุข อ.วารินชำราบ จ.อุบลราชธานี 34190,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
คูสว่าง,ต.หนองกินเพล อ.วารินชำราบ จ.อุบลราชธานี 34190,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
คำเม็กห้วยไผ่,ต.กุดชมภู อ.พิบูลมังสาหาร จ.อุบลราชธานี 34110,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
คำผ่าน,ต.ระเว อ.พิบูลมังสาหาร จ.อุบลราชธานี 34110,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
คำเตย,ต.หนองกุง อ.ตาลสุม จ.อุบลราชธานี 34330,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
คำหนามแท่ง,ต.นาคาย อ.ตาลสุม จ.อุบลราชธานี 34330,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
คำหว้า(วิบูลราษฎร์สามัคคี),ต.คำหว้า อ.ตาลสุม จ.อุบลราชธานี 34330,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
คำมณี,ต.โพธิ์ไทร อ.โพธิ์ไทร จ.อุบลราชธานี 34340,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
คำกลาง,ต.สารภี อ.โพธิ์ไทร จ.อุบลราชธานี 34340,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
ค้อน้อย,ต.ค้อน้อย อ.สำโรง จ.อุบลราชธานี 34360,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
คำสว่าง,ต.ค้อน้อย อ.สำโรง จ.อุบลราชธานี 34360,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
คุ้ม,ต.โคกสว่าง อ.สำโรง จ.อุบลราชธานี,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
ค้อบอน,ต.บอน อ.สำโรง จ.อุบลราชธานี 34360,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
ค้อ,ต.เหล่าแดง อ.ดอนมดแดง จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
คำไฮใหญ่,ต.คำไฮใหญ่ อ.ดอนมดแดง จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
คันไร่(อาภากโรครุราษฎร์),ต.คันไร่ อ.สิรินธร จ.อุบลราชธานี 34350,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
คันเปือย,ต.คำเขื่อนแก้ว อ.สิรินธร จ.อุบลราชธานี 34350,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
คำเขื่อนแก้ว,ต.คำเขื่อนแก้ว อ.สิรินธร จ.อุบลราชธานี 34350,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
คำก้อม,ต.ฝางคำ อ.สิรินธร จ.อุบลราชธานี 34350,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
คำกลางวังม่วง,ต.โคกชำแระ อ.ทุ่งศรีอุดม จ.อุบลราชธานี 34160,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
คันพะลาน,ต.นาตาล อ.นาตาล จ.อุบลราชธานี 34170,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
ค้อ,ต.กองโพน อ.นาตาล จ.อุบลราชธานี 34170,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
คำไหล,ต.โพนเมือง อ.เหล่าเสือโก้ก จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
คำไฮน้อย,ต.หนองบก อ.เหล่าเสือโก้ก จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
คำหมากอ่อน,ต.แก่งโดม อ.สว่างวีระวงศ์ จ.อุบลราชธานี 34190,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
คำโพธิ์โคกก่อง,ต.ท่าช้าง อ.สว่างวีระวงศ์ จ.อุบลราชธานี 34190,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
คำข่า,ต.สว่าง อ.สว่างวีระวงศ์ จ.อุบลราชธานี 34190,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
คำสมิง,ต.สว่าง อ.สว่างวีระวงศ์ จ.อุบลราชธานี 34190,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
ค้อเหนือ,ต.ค้อเหนือ อ.เมืองยโสธร จ.ยโสธร 35000,เขตพื้นที่การศึกษายโสธร เขต 1
คำน้ำสร้าง,ต.ค้อเหนือ อ.เมืองยโสธร จ.ยโสธร 35000,เขตพื้นที่การศึกษายโสธร เขต 1
คำฮี,ต.ขั้นไดใหญ่ อ.เมืองยโสธร จ.ยโสธร 35000,เขตพื้นที่การศึกษายโสธร เขต 1
คำน้ำเกี้ยง,ต.ทุ่งแต้ อ.เมืองยโสธร จ.ยโสธร 35000,เขตพื้นที่การศึกษายโสธร เขต 1
คำเม็ก,ต.ทุ่งแต้ อ.เมืองยโสธร จ.ยโสธร 35000,เขตพื้นที่การศึกษายโสธร เขต 1
คุยตับเต่า,ต.ขุมเงิน อ.เมืองยโสธร จ.ยโสธร 35000,เขตพื้นที่การศึกษายโสธร เขต 1
คำแขนศอก,ต.ดงมะไฟ อ.ทรายมูล จ.ยโสธร 35170,เขตพื้นที่การศึกษายโสธร เขต 2
คำครตา,ต.ดงมะไฟ อ.ทรายมูล จ.ยโสธร 35170,เขตพื้นที่การศึกษายโสธร เขต 2
คำก้าว,ต.ห้วยแก้ง อ.กุดชุม จ.ยโสธร 35140,เขตพื้นที่การศึกษายโสธร เขต 2
คำบอน,ต.หนองหมี อ.กุดชุม จ.ยโสธร 35140,เขตพื้นที่การศึกษายโสธร เขต 2
คำเลา,ต.โพนงาม อ.กุดชุม จ.ยโสธร 35140,เขตพื้นที่การศึกษายโสธร เขต 2
คำน้ำสร้าง,ต.คำน้ำสร้าง อ.กุดชุม จ.ยโสธร 35140,เขตพื้นที่การศึกษายโสธร เขต 2
คำผักหนาม,ต.หนองแหน อ.กุดชุม จ.ยโสธร 35140,เขตพื้นที่การศึกษายโสธร เขต 2
คำม่วง,ต.ย่อ อ.คำเขื่อนแก้ว จ.ยโสธร 35110,เขตพื้นที่การศึกษายโสธร เขต 1
คำแหลม,ต.ดงเจริญ อ.คำเขื่อนแก้ว จ.ยโสธร 35110,เขตพื้นที่การศึกษายโสธร เขต 1
คำเกิด,ต.กระจาย อ.ป่าติ้ว จ.ยโสธร 35190,เขตพื้นที่การศึกษายโสธร เขต 2
คำกลาง,ต.โคกนาโก อ.ป่าติ้ว จ.ยโสธร 35150,เขตพื้นที่การศึกษายโสธร เขต 2
คูสองชั้น,ต.หัวเมือง อ.มหาชนะชัย จ.ยโสธร 35130,เขตพื้นที่การศึกษายโสธร เขต 1
คุ้ม,ต.คูเมือง อ.มหาชนะชัย จ.ยโสธร 35130,เขตพื้นที่การศึกษายโสธร เขต 1
คูเมือง,ต.คูเมือง อ.มหาชนะชัย จ.ยโสธร 35130,เขตพื้นที่การศึกษายโสธร เขต 1
คึมชาดตาดบกศรีสมพร,ต.สามแยก อ.เลิงนกทา จ.ยโสธร 35120,เขตพื้นที่การศึกษายโสธร เขต 2
คำเกิ่ง,ต.โคกสำราญ อ.เลิงนกทา จ.ยโสธร 35120,เขตพื้นที่การศึกษายโสธร เขต 2
คึมยาว,ต.สร้างมิ่ง อ.เลิงนกทา จ.ยโสธร 35120,เขตพื้นที่การศึกษายโสธร เขต 2
คำสร้างช้าง,ต.น้ำคำ อ.ไทยเจริญ จ.ยโสธร 35120,เขตพื้นที่การศึกษายโสธร เขต 2
คำเตย,ต.คำเตย อ.ไทยเจริญ จ.ยโสธร 35120,เขตพื้นที่การศึกษายโสธร เขต 2
คำไผ่,ต.คำไผ่ อ.ไทยเจริญ จ.ยโสธร 35120,เขตพื้นที่การศึกษายโสธร เขต 2
คร้อห้วยชัน(แย้มมงคลสินธุ์),ต.นาฝาย อ.เมืองชัยภูมิ จ.ชัยภูมิ 36000,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
ค่ายวิทยา,ต.บ้านค่าย อ.เมืองชัยภูมิ จ.ชัยภูมิ 36240,เขตพื้นที่การศึกษาชัยภูมิ เขต 30
คลองไผ่งาม,ต.บ้านเขว้า อ.บ้านเขว้า จ.ชัยภูมิ 36170,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
ค่ายหางเรียง,ต.ลุ่มลำชี อ.บ้านเขว้า จ.ชัยภูมิ 36170,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
คอนสวรรค์,ต.คอนสวรรค์ อ.คอนสวรรค์ จ.ชัยภูมิ 36140,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
คลองเจริญ,ต.นางแดด อ.หนองบัวแดง จ.ชัยภูมิ 36210,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
คลองเตยโนนพยอมประชาสรรค์,ต.นางแดด อ.หนองบัวแดง จ.ชัยภูมิ 36210,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
คลองบอน,ต.คอนสาร อ.คอนสาร จ.ชัยภูมิ 36180,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
คอนสาร,ต.คอนสาร อ.คอนสาร จ.ชัยภูมิ 36180,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
คลองจันลา,ต.บ้านเจียง อ.ภักดีชุมพล จ.ชัยภูมิ 36260,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
คำปอแก้วคำไหล,ต.เหล่าพรวน อ.เมืองอำนาจเจริญ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
คึมใหญ่,ต.คึมใหญ่ อ.เมืองอำนาจเจริญ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
คำสร้างบ่อ,ต.น้ำปลีก อ.เมืองอำนาจเจริญ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
คำกลาง,ต.โนนหนามแท่ง อ.เมืองอำนาจเจริญ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
คันสูง,ต.โคกสาร อ.ชานุมาน จ.อำนาจเจริญ 37210,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
คำแก้ว,ต.คำเขื่อนแก้ว อ.ชานุมาน จ.อำนาจเจริญ 37210,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
คำเดือย,ต.คำเขื่อนแก้ว อ.ชานุมาน จ.อำนาจเจริญ 37210,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
คำโพน,ต.คำโพน อ.ปทุมราชวงศา จ.อำนาจเจริญ 37110,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
คำย่านาง,ต.นาหว้า อ.ปทุมราชวงศา จ.อำนาจเจริญ 37240,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
คำน้อย,ต.ห้วย อ.ปทุมราชวงศา จ.อำนาจเจริญ 37110,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
คึมข่า,ต.เสนางคนิคม อ.เสนางคนิคม จ.อำนาจเจริญ 37290,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
คำเจริญ,ต.หัวตะพาน อ.หัวตะพาน จ.อำนาจเจริญ 37240,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
คำข่า,ต.สร้างถ่อน้อย อ.หัวตะพาน จ.อำนาจเจริญ 37240,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
คำน้อย,ต.สร้างถ่อน้อย อ.หัวตะพาน จ.อำนาจเจริญ 37240,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
คึมชาดห้วยบง,ต.โพธิ์ชัย อ.เมืองหนองบัวลำภู จ.หนองบัวลำภู 39000,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
ค้อ,ต.บ้านค้อ อ.โนนสัง จ.หนองบัวลำภู 39140,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
คอกวัว,ต.หนองกุงแก้ว อ.ศรีบุญเรือง จ.หนองบัวลำภู 39180,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
คลองเจริญ,ต.บุญทัน อ.สุวรรณคูหา จ.หนองบัวลำภู 39270,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 2
ค้อท่อนน้อย,ต.บ้านค้อ อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
คำไฮหัวทุ่งประชาบำรุง,ต.บ้านเป็ด อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
คำบอน,ต.โนนท่อน อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
ค้อ,ต.บ้านเหล่า อ.บ้านฝาง จ.ขอนแก่น 40270,เขตพื้นที่การศึกษาขอนแก่น เขต 1
คำหัวช้างโนนตุ่นป่ามะนาว,ต.ป่ามะนาว อ.บ้านฝาง จ.ขอนแก่น 40270,เขตพื้นที่การศึกษาขอนแก่น เขต 1
คำหญ้าแดง,ต.โคกงาม อ.บ้านฝาง จ.ขอนแก่น 40270,เขตพื้นที่การศึกษาขอนแก่น เขต 1
คำมืด,ต.น้ำพอง อ.น้ำพอง จ.ขอนแก่น 40140,เขตพื้นที่การศึกษาขอนแก่น เขต 4
คอกคีแสนตอ,ต.บัวใหญ่ อ.น้ำพอง จ.ขอนแก่น 40140,เขตพื้นที่การศึกษาขอนแก่น เขต 4
คำม่วมดงเย็น,ต.บัวใหญ่ อ.น้ำพอง จ.ขอนแก่น 40140,เขตพื้นที่การศึกษาขอนแก่น เขต 4
คำบง,ต.สะอาด อ.น้ำพอง จ.ขอนแก่น 40310,เขตพื้นที่การศึกษาขอนแก่น เขต 4
คำแก่นคูณ,ต.ม่วงหวาน อ.น้ำพอง จ.ขอนแก่น 40310,เขตพื้นที่การศึกษาขอนแก่น เขต 4
คำจั่น(ปาสานะเตนุสรณ์),ต.บัวเงิน อ.น้ำพอง จ.ขอนแก่น 40140,เขตพื้นที่การศึกษาขอนแก่น เขต 4
คำบอนคุรุราษฎร์บำรุง,ต.โคกสูง อ.อุบลรัตน์ จ.ขอนแก่น 40250,เขตพื้นที่การศึกษาขอนแก่น เขต 4
คำไฮผักแว่น,ต.หนองโก อ.กระนวน จ.ขอนแก่น 40170,เขตพื้นที่การศึกษาขอนแก่น เขต 4
คำมืดวิทยา,ต.บ้านฝาง อ.กระนวน จ.ขอนแก่น 40170,เขตพื้นที่การศึกษาขอนแก่น เขต 4
คำครึ่ง,ต.หัวนาคำ อ.กระนวน จ.ขอนแก่น 40170,เขตพื้นที่การศึกษาขอนแก่น เขต 4
คึมชาตหนองผงนาดี,ต.เก่างิ้ว อ.พล จ.ขอนแก่น 40120,เขตพื้นที่การศึกษาขอนแก่น เขต 3
คูขาด(สถิตอุปถัมภ์),ต.โคกสง่า อ.พล จ.ขอนแก่น 40120,เขตพื้นที่การศึกษาขอนแก่น เขต 3
คอนฉิม,ต.คอนฉิม อ.แวงใหญ่ จ.ขอนแก่น 40330,เขตพื้นที่การศึกษาขอนแก่น เขต 3
คึมชาด,ต.คึมชาด อ.หนองสองห้อง จ.ขอนแก่น 40190,เขตพื้นที่การศึกษาขอนแก่น เขต 3
ค้อ,ต.กุดขอนแก่น อ.ภูเวียง จ.ขอนแก่น 40150,เขตพื้นที่การศึกษาขอนแก่น เขต 5
คำใหญ่,ต.นาหว้า อ.ภูเวียง จ.ขอนแก่น 40150,เขตพื้นที่การศึกษาขอนแก่น เขต 5
คำแคน,ต.คำแคน อ.มัญจาคีรี จ.ขอนแก่น 40160,เขตพื้นที่การศึกษาขอนแก่น เขต 2
คำโซ่,ต.คำแคน อ.มัญจาคีรี จ.ขอนแก่น 40160,เขตพื้นที่การศึกษาขอนแก่น เขต 2
คำน้อย,ต.คำแคน อ.มัญจาคีรี จ.ขอนแก่น 40160,เขตพื้นที่การศึกษาขอนแก่น เขต 2
คำปากดาว,ต.คำแคน อ.มัญจาคีรี จ.ขอนแก่น 40160,เขตพื้นที่การศึกษาขอนแก่น เขต 2
คำนางปุ่ม,ต.เขาสวนกวาง อ.เขาสวนกวาง จ.ขอนแก่น 40280,เขตพื้นที่การศึกษาขอนแก่น เขต 4
คำแคนคำเจริญ,ต.ดงเมืองแอม อ.เขาสวนกวาง จ.ขอนแก่น,เขตพื้นที่การศึกษาขอนแก่น เขต 4
คำสมบูรณ์,ต.ดงเมืองแอม อ.เขาสวนกวาง จ.ขอนแก่น 40280,เขตพื้นที่การศึกษาขอนแก่น เขต 4
คำป่าก่อ,ต.โนนสมบูรณ์ อ.เขาสวนกวาง จ.ขอนแก่น 40280,เขตพื้นที่การศึกษาขอนแก่น เขต 4
คำม่วง,ต.คำม่วง อ.เขาสวนกวาง จ.ขอนแก่น 40280,เขตพื้นที่การศึกษาขอนแก่น เขต 4
คำแมด,ต.คำแมด อ.ซำสูง จ.ขอนแก่น 40170,เขตพื้นที่การศึกษาขอนแก่น เขต 4
คึมชาติประชาสรรค์,ต.ขนวน อ.หนองนาคำ จ.ขอนแก่น 40150,เขตพื้นที่การศึกษาขอนแก่น เขต 5
คำกลิ้ง,ต.บ้านจั่น อ.เมืองอุดรธานี จ.อุดรธานี 41000,เขตพื้นที่การศึกษาอุดรธานี เขต 1
คำเจริญ,ต.พันดอน อ.กุมภวาปี จ.อุดรธานี 41370,เขตพื้นที่การศึกษาอุดรธานี เขต 2
คำไผ่,ต.เวียงคำ อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ค้อน้อย,ต.ทมนางาม อ.โนนสะอาด จ.อุดรธานี 41240,เขตพื้นที่การศึกษาอุดรธานี เขต 2
คำเต้าแก้วหินลาด,ต.โคกกลาง อ.โนนสะอาด จ.อุดรธานี 41240,เขตพื้นที่การศึกษาอุดรธานี เขต 2
คำอ้อ,ต.บ้านเชียง อ.หนองหาน จ.อุดรธานี 41320,เขตพื้นที่การศึกษาอุดรธานี เขต 3
คำเจริญ,ต.ทุ่งใหญ่ อ.ทุ่งฝน จ.อุดรธานี 41310,เขตพื้นที่การศึกษาอุดรธานี เขต 3
คำยาง,ต.ไชยวาน อ.ไชยวาน จ.อุดรธานี 41290,เขตพื้นที่การศึกษาอุดรธานี เขต 3
คำ,ต.คำเลาะ อ.ไชยวาน จ.อุดรธานี 41290,เขตพื้นที่การศึกษาอุดรธานี เขต 3
คำบอน,ต.คำเลาะ อ.ไชยวาน จ.อุดรธานี 41290,เขตพื้นที่การศึกษาอุดรธานี เขต 3
คำเลาะ,ต.คำเลาะ อ.ไชยวาน จ.อุดรธานี 41290,เขตพื้นที่การศึกษาอุดรธานี เขต 3
คำม่วง,ต.โพนสูง อ.ไชยวาน จ.อุดรธานี 41290,เขตพื้นที่การศึกษาอุดรธานี เขต 3
คำดอกไม้,ต.นายูง อ.ศรีธาตุ จ.อุดรธานี 41230,เขตพื้นที่การศึกษาอุดรธานี เขต 2
คำบอน,ต.หัวนาคำ อ.ศรีธาตุ จ.อุดรธานี 41230,เขตพื้นที่การศึกษาอุดรธานี เขต 2
คำม่วง,ต.หนองนกเขียน อ.ศรีธาตุ จ.อุดรธานี 41230,เขตพื้นที่การศึกษาอุดรธานี เขต 2
คำปลากั้ง,ต.ตาดทอง อ.ศรีธาตุ จ.อุดรธานี 41230,เขตพื้นที่การศึกษาอุดรธานี เขต 2
คำจวง,ต.ผาสุก อ.วังสามหมอ จ.อุดรธานี 41280,เขตพื้นที่การศึกษาอุดรธานี เขต 2
คำน้อย,ต.ผาสุก อ.วังสามหมอ จ.อุดรธานี 41280,เขตพื้นที่การศึกษาอุดรธานี เขต 2
คำยาง,ต.ผาสุก อ.วังสามหมอ จ.อุดรธานี 41280,เขตพื้นที่การศึกษาอุดรธานี เขต 2
คำโคกสูง,ต.คำโคกสูง อ.วังสามหมอ จ.อุดรธานี 41280,เขตพื้นที่การศึกษาอุดรธานี เขต 2
คำภูเงิน,ต.บ้านตาด อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
คำบอนโนนสมโภชน์,ต.นาคำ อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
คำสง่าประชาสรรค์,ต.นาคำ อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
ค้อ (เขือน้ำ),ต.เขือน้ำ อ.บ้านผือ จ.อุดรธานี 41160,เขตพื้นที่การศึกษาอุดรธานี เขต 4
คูดงประชาสรรค์,ต.โนนทอง อ.บ้านผือ จ.อุดรธานี 41160,เขตพื้นที่การศึกษาอุดรธานี เขต 4
คำด้วง,ต.คำด้วง อ.บ้านผือ จ.อุดรธานี 41660,เขตพื้นที่การศึกษาอุดรธานี เขต 4
ค้อ (ธัญญวิทยาคาร),ต.บ้านค้อ อ.บ้านผือ จ.อุดรธานี 41160,เขตพื้นที่การศึกษาอุดรธานี เขต 4
คอนเลียบ,ต.เตาไห อ.เพ็ญ จ.อุดรธานี,เขตพื้นที่การศึกษาอุดรธานี เขต 1
คอนสวรรค์สินเจริญ,ต.เตาไห อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
ค้อน้อย,ต.คอนสาย อ.กู่แก้ว จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
คำแคนแก่นคูณ,ต.คอนสาย อ.กู่แก้ว จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
ค้อดอนแคน,ต.ค้อใหญ่ อ.กู่แก้ว จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
คกมาด,ต.เชียงคาน อ.เชียงคาน จ.เลย 42110,เขตพื้นที่การศึกษาเลย เขต 1
คกเลา,ต.เชียงคาน อ.เชียงคาน จ.เลย 42110,เขตพื้นที่การศึกษาเลย เขต 1
คกงิ้ว,ต.ปากตม อ.เชียงคาน จ.เลย 42110,เขตพื้นที่การศึกษาเลย เขต 1
คกไผ่,ต.ปากชม อ.ปากชม จ.เลย 42150,เขตพื้นที่การศึกษาเลย เขต 1
คอนสา,ต.เชียงกลม อ.ปากชม จ.เลย 42150,เขตพื้นที่การศึกษาเลย เขต 1
คกเว้า,ต.หาดคัมภีร์ อ.ปากชม จ.เลย 42150,เขตพื้นที่การศึกษาเลย เขต 1
คำโป้งเป้งโคตรธิสารวิทยา,ต.ค่ายบกหวาน อ.เมืองหนองคาย จ.หนองคาย 43100,เขตพื้นที่การศึกษาหนองคาย เขต 1
คุยนางขาว,ต.หนองกอมเกาะ อ.เมืองหนองคาย จ.หนองคาย 43000,เขตพื้นที่การศึกษาหนองคาย เขต 1
คลองเค็ม,ต.หนองเลิง อ.บึงกาฬ จ.หนองคาย 43140,เขตพื้นที่การศึกษาหนองคาย เขต 3
คำภู,ต.ชัยพร อ.บึงกาฬ จ.หนองคาย 43140,เขตพื้นที่การศึกษาหนองคาย เขต 3
คำตอยูง,ต.เซิม อ.โพนพิสัย จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
คำจำปา,ต.บ้านโพธิ์ อ.โพนพิสัย จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
คำเจริญ,ต.บ้านโพธิ์ อ.โพนพิสัย จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
คำปะกั้ง,ต.บ้านโพธิ์ อ.โพนพิสัย จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
คำปะกั้ง สาขาบ้านดงอ่าง,ต.บ้านโพธิ์ อ.โพนพิสัย จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
คำไผ่,ต.ศรีชมภู อ.โซ่พิสัย จ.หนองคาย 43170,เขตพื้นที่การศึกษาหนองคาย เขต 2
คำเตาะเลาะโนนเค็ง,ต.คำแก้ว อ.โซ่พิสัย จ.หนองคาย 43170,เขตพื้นที่การศึกษาหนองคาย เขต 2
คำแวง,ต.คำแก้ว อ.โซ่พิสัย จ.หนองคาย 43170,เขตพื้นที่การศึกษาหนองคาย เขต 2
คลองทิพย์,ต.เหล่าทอง อ.โซ่พิสัย จ.หนองคาย 43170,เขตพื้นที่การศึกษาหนองคาย เขต 2
คำแก้ว,ต.เหล่าทอง อ.โซ่พิสัย จ.หนองคาย 43170,เขตพื้นที่การศึกษาหนองคาย เขต 2
คำบอน,ต.น้ำจั้น อ.เซกา จ.หนองคาย 43150,เขตพื้นที่การศึกษาหนองคาย เขต 3
คำสมบูรณ์,ต.บึงโขงหลง อ.บึงโขงหลง จ.หนองคาย 43220,เขตพื้นที่การศึกษาหนองคาย เขต 3
คำไชยวาล,ต.นาแสง อ.ศรีวิไล จ.หนองคาย 43210,เขตพื้นที่การศึกษาหนองคาย เขต 3
คำโคนสว่าง,ต.อุดมพร อ.เฝ้าไร่ จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
คุยโพธิ์,ต.หัวขวาง อ.โกสุมพิสัย จ.มหาสารคาม 44140,เขตพื้นที่การศึกษามหาสารคาม เขต 1
คุยเชือก,ต.หนองบัว อ.โกสุมพิสัย จ.มหาสารคาม 44140,เขตพื้นที่การศึกษามหาสารคาม เขต 1
คุยแพง,ต.หนองบัว อ.โกสุมพิสัย จ.มหาสารคาม 44140,เขตพื้นที่การศึกษามหาสารคาม เขต 1
คอกม้า,ต.โคกพระ อ.กันทรวิชัย จ.มหาสารคาม 44150,เขตพื้นที่การศึกษามหาสารคาม เขต 1
คันธาร์,ต.คันธารราษฎร์ อ.กันทรวิชัย จ.มหาสารคาม 44150,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ค้อ,ต.ดอนเงิน อ.เชียงยืน จ.มหาสารคาม 44160,เขตพื้นที่การศึกษามหาสารคาม เขต 1
คึมบง,ต.หนองโพธิ์ อ.นาเชือก จ.มหาสารคาม 44170,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ค่ายนุ่นโนนแคน,ต.ราษฎร์เจริญ อ.พยัคฆภูมิพิสัย จ.มหาสารคาม 44110,เขตพื้นที่การศึกษามหาสารคาม เขต 2
