กะทุ่มลาย,ต.ลำตาเสา อ.วังน้อย จ.พระนครศรีอยุธยา 13170,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ก่อ(ราษฎร์นุกูล),ต.หนองไฮ อ.อุทุมพรพิสัย จ.ศรีสะเกษ 33120,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
กลาง(ประชาคมวิทยา),ต.ขะยูง อ.อุทุมพรพิสัย จ.ศรีสะเกษ 33120,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
กล้วยกว้าง,ต.กล้วยกว้าง อ.ห้วยทับทัน จ.ศรีสะเกษ 33210,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
กระเต็ล,ต.ผักไหม อ.ห้วยทับทัน จ.ศรีสะเกษ 33210,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
กระสังข์,ต.ผักไหม อ.ห้วยทับทัน จ.ศรีสะเกษ 33210,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
ก้อนเส้า,ต.หนองกุง อ.โนนคูณ จ.ศรีสะเกษ 33250,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
กระหวัน,ต.เสื่องข้าว อ.ศรีรัตนะ จ.ศรีสะเกษ 33240,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
กะวัน,ต.ตองปิด อ.น้ำเกลี้ยง จ.ศรีสะเกษ 33130,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
กะเอิน,ต.บุสูง อ.วังหิน จ.ศรีสะเกษ 33270,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
กุดผักหนามคำน้อย,ต.หนองฮาง อ.เบญจลักษ์ จ.ศรีสะเกษ 33110,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
กระหวัน,ต.พรหมสวัสดิ์ อ.พยุห์ จ.ศรีสะเกษ 33230,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
กระแชง(คุรุราษฎร์นุกูล),ต.ตำแย อ.พยุห์ จ.ศรีสะเกษ 33230,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
กระถุน,ต.ตำแย อ.พยุห์ จ.ศรีสะเกษ 33230,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
กุงขาม,ต.กุง อ.ศิลาลาด จ.ศรีสะเกษ 33160,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
ก้านเหลือง,ต.ขามใหญ่ อ.เมืองอุบลราชธานี จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
กระโสบ(เพียรประสิทธิ์วิทยา),ต.กระโสบ อ.เมืองอุบลราชธานี จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
กุดก่วยโนนเจริญ,ต.เอือดใหญ่ อ.ศรีเมืองใหม่ จ.อุบลราชธานี 34250,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
กุดเรือคำ,ต.หนองแสงใหญ่ อ.โขงเจียม จ.อุบลราชธานี 34220,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
กุ่ม,ต.ห้วยไผ่ อ.โขงเจียม จ.อุบลราชธานี 34220,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
กุดกะเสียน,ต.เขื่องใน อ.เขื่องใน จ.อุบลราชธานี 34150,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
กุดตากล้า,ต.สร้างถ่อ อ.เขื่องใน จ.อุบลราชธานี 34150,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
ก่อ,ต.ก่อเอ้ อ.เขื่องใน จ.อุบลราชธานี 34150,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
กอก,ต.บ้านกอก อ.เขื่องใน จ.อุบลราชธานี 34320,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
กลางใหญ่,ต.กลางใหญ่ อ.เขื่องใน จ.อุบลราชธานี 34320,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
ก่อแสนสำราญสามัคคี,ต.ยางขี้นก อ.เขื่องใน จ.อุบลราชธานี 34150,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
กุดประทาย,ต.กุดประทาย อ.เดชอุดม จ.อุบลราชธานี 34160,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
กลาง,ต.กลาง อ.เดชอุดม จ.อุบลราชธานี 34160,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
กวางดีด,ต.โนนสมบูรณ์ อ.นาจะหลวย จ.อุบลราชธานี 34280,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
กุดเชียงมุน,ต.โดมประดิษฐ์ อ.น้ำยืน จ.อุบลราชธานี 34260,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
กรุงเจริญ,ต.หนองสะโน อ.บุณฑริก จ.อุบลราชธานี 34230,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
กระเดียน,ต.กระเดียน อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
กึ่งพุทธกาล,ต.เกษม อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
กุศกร,ต.กุศกร อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
กาจับ,ต.กุดยาลวน อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
กุดยาลวน,ต.กุดยาลวน อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
กุดกลอย,ต.โนนสวาง อ.กุดข้าวปุ้น จ.อุบลราชธานี 34270,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
กาบิน,ต.กาบิน อ.กุดข้าวปุ้น จ.อุบลราชธานี 34270,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
ก่อ,ต.หนองไข่นก อ.ม่วงสามสิบ จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
กุดปลาขาว,ต.วารินชำราบ อ.วารินชำราบ จ.อุบลราชธานี 34190,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
ก่อ(ก่อวิทยาคาร),ต.แสนสุข อ.วารินชำราบ จ.อุบลราชธานี 34190,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
กุดชุม,ต.หนองกินเพล อ.วารินชำราบ จ.อุบลราชธานี 34190,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
กุดระงุม,ต.บุ่งไหม อ.วารินชำราบ จ.อุบลราชธานี 34190,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
กุดชมภู,ต.กุดชมภู อ.พิบูลมังสาหาร จ.อุบลราชธานี 34110,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
กะเตียด,ต.สองคอน อ.โพธิ์ไทร จ.อุบลราชธานี 34340,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
กะลึง,ต.สารภี อ.โพธิ์ไทร จ.อุบลราชธานี 34340,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
กะแอกน้อย,ต.ค้อน้อย อ.สำโรง จ.อุบลราชธานี 34190,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
กะแอก,ต.โคกสว่าง อ.สำโรง จ.อุบลราชธานี 34360,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
กุดกั่ว,ต.ดอนมดแดง อ.ดอนมดแดง จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
กระบูน,ต.เหล่าแดง อ.ดอนมดแดง จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
กุดเรือ,ต.กุดเรือ อ.ทุ่งศรีอุดม จ.อุบลราชธานี 34160,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
กองโพน,ต.กองโพน อ.นาตาล จ.อุบลราชธานี 34170,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
กุดจอกห้องพอกขี้เหล็ก,ต.น้ำคำใหญ่ อ.เมืองยโสธร จ.ยโสธร 35000,เขตพื้นที่การศึกษายโสธร เขต 1
กุดระหวี่,ต.สิงห์ อ.เมืองยโสธร จ.ยโสธร 35000,เขตพื้นที่การศึกษายโสธร เขต 1
กว้างท่าเยี่ยม,ต.เขื่องคำ อ.เมืองยโสธร จ.ยโสธร 35000,เขตพื้นที่การศึกษายโสธร เขต 1
กุดกง,ต.เขื่องคำ อ.เมืองยโสธร จ.ยโสธร 35000,เขตพื้นที่การศึกษายโสธร เขต 1
กุดกว้าง,ต.ดงมะไฟ อ.ทรายมูล จ.ยโสธร 35170,เขตพื้นที่การศึกษายโสธร เขต 2
กุดชุมพัฒนา(ศรีวิสารรังสรรค์),ต.กุดชุม อ.กุดชุม จ.ยโสธร 35140,เขตพื้นที่การศึกษายโสธร เขต 2
กุดหิน,ต.กำแมด อ.กุดชุม จ.ยโสธร 35140,เขตพื้นที่การศึกษายโสธร เขต 2
กุดแดง,ต.นาโส่ อ.กุดชุม จ.ยโสธร 35140,เขตพื้นที่การศึกษายโสธร เขต 2
กุดไกรสร,ต.หนองหมี อ.กุดชุม จ.ยโสธร 35140,เขตพื้นที่การศึกษายโสธร เขต 2
กุดตากล้า,ต.สงเปือย อ.คำเขื่อนแก้ว จ.ยโสธร 35110,เขตพื้นที่การศึกษายโสธร เขต 1
กลางนา,ต.ดงแคนใหญ่ อ.คำเขื่อนแก้ว จ.ยโสธร 35180,เขตพื้นที่การศึกษายโสธร เขต 1
กุดกุง,ต.กุดกุง อ.คำเขื่อนแก้ว จ.ยโสธร 35110,เขตพื้นที่การศึกษายโสธร เขต 1
กุดเป่ง,ต.เหล่าไฮ อ.คำเขื่อนแก้ว จ.ยโสธร 35110,เขตพื้นที่การศึกษายโสธร เขต 1
กลางสระเกษ,ต.โพธิ์ไทร อ.ป่าติ้ว จ.ยโสธร 35150,เขตพื้นที่การศึกษายโสธร เขต 2
กระจาย,ต.กระจาย อ.ป่าติ้ว จ.ยโสธร 35150,เขตพื้นที่การศึกษายโสธร เขต 2
กุดสำโรง,ต.ศรีฐาน อ.ป่าติ้ว จ.ยโสธร 35150,เขตพื้นที่การศึกษายโสธร เขต 2
กุดพันเขียว,ต.หัวเมือง อ.มหาชนะชัย จ.ยโสธร 35013,เขตพื้นที่การศึกษายโสธร เขต 1
กุดน้ำใส,ต.กุดน้ำใส อ.ค้อวัง จ.ยโสธร 35160,เขตพื้นที่การศึกษายโสธร เขต 1
กุดโจด,ต.สวาท อ.เลิงนกทา จ.ยโสธร 35120,เขตพื้นที่การศึกษายโสธร เขต 2
กุดขุ่นสวาสดิ์,ต.กุดเชียงหมี อ.เลิงนกทา จ.ยโสธร 35120,เขตพื้นที่การศึกษายโสธร เขต 2
กุดแข้ด่อนหนองบัว,ต.กุดเชียงหมี อ.เลิงนกทา จ.ยโสธร 35120,เขตพื้นที่การศึกษายโสธร เขต 2
กุดเชียงหมี,ต.กุดเชียงหมี อ.เลิงนกทา จ.ยโสธร 35120,เขตพื้นที่การศึกษายโสธร เขต 2
กุดมะฮงดงสวาง,ต.กุดแห่ อ.เลิงนกทา จ.ยโสธร 35120,เขตพื้นที่การศึกษายโสธร เขต 2
กุดแห่,ต.กุดแห่ อ.เลิงนกทา จ.ยโสธร 35120,เขตพื้นที่การศึกษายโสธร เขต 2
กุดคอก่านโคกสำราญ,ต.โคกสำราญ อ.เลิงนกทา จ.ยโสธร 35120,เขตพื้นที่การศึกษายโสธร เขต 2
กุดเสถียร,ต.สร้างมิ่ง อ.เลิงนกทา จ.ยโสธร 35120,เขตพื้นที่การศึกษายโสธร เขต 2
กุดขมิ้น,ต.นาฝาย อ.เมืองชัยภูมิ จ.ชัยภูมิ 36000,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
กุดละลม,ต.หนองนาแซง อ.เมืองชัยภูมิ จ.ชัยภูมิ 36000,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
กุดเวียน,ต.ลาดใหญ่ อ.เมืองชัยภูมิ จ.ชัยภูมิ 36000,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
กุดโง้ง,ต.บุ่งคล้า อ.เมืองชัยภูมิ จ.ชัยภูมิ 36000,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
กุดฉนวน,ต.บ้านเขว้า อ.บ้านเขว้า จ.ชัยภูมิ 36170,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
กุดไผ่,ต.ตลาดแร้ง อ.บ้านเขว้า จ.ชัยภูมิ 36170,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
กุดยาง,ต.ตลาดแร้ง อ.บ้านเขว้า จ.ชัยภูมิ,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
กุดยาง สาขาบ้านตาด,ต.ตลาดแร้ง อ.บ้านเขว้า จ.ชัยภูมิ,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
กุดหูลิง,ต.ตลาดแร้ง อ.บ้านเขว้า จ.ชัยภูมิ 36170,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
กุดตะเคียน,ต.ชีบน อ.บ้านเขว้า จ.ชัยภูมิ 36170,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
กุดเลาะ(คุรุประชานุสรณ์),ต.กุดเลาะ อ.เกษตรสมบูรณ์ จ.ชัยภูมิ 36120,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
กลาง,ต.โนนทอง อ.เกษตรสมบูรณ์ จ.ชัยภูมิ 36120,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
กุดน้ำใส(3 พระครูอนุสรณ์),ต.กุดน้ำใส อ.จัตุรัส จ.ชัยภูมิ 36130,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
กลอยสามัคคี,ต.บ้านเพชร อ.บำเหน็จณรงค์ จ.ชัยภูมิ 36160,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
กุดแคนสามัคคี,ต.บ้านตาล อ.บำเหน็จณรงค์ จ.ชัยภูมิ 36160,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
กุ่ม(คุรุประชาสามัคคี),ต.หัวทะเล อ.บำเหน็จณรงค์ จ.ชัยภูมิ 36220,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
กุดตาลาด,ต.โคกเริงรมย์ อ.บำเหน็จณรงค์ จ.ชัยภูมิ 36160,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
กุดขอนแก่น,ต.บ้านเพชร อ.ภูเขียว จ.ชัยภูมิ 36110,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
กวางโจนโนนทอง,ต.กวางโจน อ.ภูเขียว จ.ชัยภูมิ 36110,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
กุดหัวช้าง,ต.หนองคอนไทย อ.ภูเขียว จ.ชัยภูมิ 36110,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
กุดโคลน,ต.โคกสะอาด อ.ภูเขียว จ.ชัยภูมิ 36110,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
กุดจอก,ต.โคกสะอาด อ.ภูเขียว จ.ชัยภูมิ 36110,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
กุดแดง,ต.โคกสะอาด อ.ภูเขียว จ.ชัยภูมิ 36110,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
กุดหมากเห็บ,ต.บ้านดอน อ.ภูเขียว จ.ชัยภูมิ 36110,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
ก่าน,ต.หนองสังข์ อ.แก้งคร้อ จ.ชัยภูมิ 36150,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
กุดโง้งดงสวรรค์,ต.ท่ามะไฟหวาน อ.แก้งคร้อ จ.ชัยภูมิ 36150,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
กุดแคน,ต.ดงกลาง อ.คอนสาร จ.ชัยภูมิ 36180,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
ก่อนาดี,ต.ปลาค้าว อ.เมืองอำนาจเจริญ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
กุดปลาดุก,ต.กุดปลาดุก อ.เมืองอำนาจเจริญ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
ก่อ(รามคำแหงอนุสรณ์ 2),ต.ดอนเมย อ.เมืองอำนาจเจริญ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
กุดน้ำกิน,ต.นาแต้ อ.เมืองอำนาจเจริญ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
กุงชัย,ต.ดงบัง อ.ลืออำนาจ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
กุดสิม,ต.โคกกลาง อ.ลืออำนาจ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
กองแป่มหนองสวรรค์,ต.หนองสวรรค์ อ.เมืองหนองบัวลำภู จ.หนองบัวลำภู 39000,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
กุดเต่า,ต.นามะเฟือง อ.เมืองหนองบัวลำภู จ.หนองบัวลำภู 39000,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
กุดจิก,ต.กุดจิก อ.เมืองหนองบัวลำภู จ.หนองบัวลำภู 39000,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
กุดฉิม,ต.นาคำไฮ อ.เมืองหนองบัวลำภู จ.หนองบัวลำภู 39000,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
กกค้อกกโพธิ์,ต.นากลาง อ.นากลาง จ.หนองบัวลำภู 39170,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 2
กุดดินจี่,ต.กุดดินจี่ อ.นากลาง จ.หนองบัวลำภู 39350,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 2
ก่าน,ต.ฝั่งแดง อ.นากลาง จ.หนองบัวลำภู 39170,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 2
กุดกวางสร้อย,ต.บ้านถิ่น อ.โนนสัง จ.หนองบัวลำภู 39140,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
กุดคอเมย,ต.กุดดู่ อ.โนนสัง จ.หนองบัวลำภู 39140,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
กุดฉิม,ต.บ้านค้อ อ.โนนสัง จ.หนองบัวลำภู 39140,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
กุดแห่,ต.บ้านค้อ อ.โนนสัง จ.หนองบัวลำภู 39140,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
กุดแท่น,ต.กุดสะเทียน อ.ศรีบุญเรือง จ.หนองบัวลำภู 39180,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
กุดสะเทียนใหม่ศรีทอง,ต.กุดสะเทียน อ.ศรีบุญเรือง จ.หนองบัวลำภู 39180,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
กุดดุกสุขเกษม,ต.นากอก อ.ศรีบุญเรือง จ.หนองบัวลำภู 39180,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
กุดฮู,ต.นาด่าน อ.สุวรรณคูหา จ.หนองบัวลำภู 39270,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 2
กุดผึ้ง,ต.กุดผึ้ง อ.สุวรรณคูหา จ.หนองบัวลำภู 39270,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 2
กุดนางทุย,ต.บ้านทุ่ม อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
กุดกว้างประชาสรรค์,ต.เมืองเก่า อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
กอก,ต.บ้านเป็ด อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
กระเดื่อง,ต.ป่ามะนาว อ.บ้านฝาง จ.ขอนแก่น 40270,เขตพื้นที่การศึกษาขอนแก่น เขต 1
กง(ประชานุกูล),ต.บ้านกง อ.หนองเรือ จ.ขอนแก่น 40240,เขตพื้นที่การศึกษาขอนแก่น เขต 5
กุดแคน,ต.โนนทอง อ.หนองเรือ จ.ขอนแก่น 40210,เขตพื้นที่การศึกษาขอนแก่น เขต 5
กุดเลา,ต.โนนทอง อ.หนองเรือ จ.ขอนแก่น 40210,เขตพื้นที่การศึกษาขอนแก่น เขต 5
กุดกว้าง,ต.กุดกว้าง อ.หนองเรือ จ.ขอนแก่น 40210,เขตพื้นที่การศึกษาขอนแก่น เขต 5
กุดฉิมพิทยาคาร,ต.โนนทัน อ.หนองเรือ จ.ขอนแก่น 40210,เขตพื้นที่การศึกษาขอนแก่น เขต 5
กุดพังเครือ,ต.ท่ากระเสริม อ.น้ำพอง จ.ขอนแก่น 40140,เขตพื้นที่การศึกษาขอนแก่น เขต 4
กุดพังทุย,ต.พังทุย อ.น้ำพอง จ.ขอนแก่น 40140,เขตพื้นที่การศึกษาขอนแก่น เขต 4
กุดกว้าง,ต.กุดน้ำใส อ.น้ำพอง จ.ขอนแก่น 40310,เขตพื้นที่การศึกษาขอนแก่น เขต 4
กุดน้ำใส,ต.กุดน้ำใส อ.น้ำพอง จ.ขอนแก่น 40310,เขตพื้นที่การศึกษาขอนแก่น เขต 4
กุดเชียงมี,ต.บ้านดง อ.อุบลรัตน์ จ.ขอนแก่น 40250,เขตพื้นที่การศึกษาขอนแก่น เขต 4
กุดเชือก,ต.บ้านลาน อ.บ้านไผ่ จ.ขอนแก่น 40110,เขตพื้นที่การศึกษาขอนแก่น เขต 2
กุดหมากเห็บ,ต.โนนสะอาด อ.แวงใหญ่ จ.ขอนแก่น 40330,เขตพื้นที่การศึกษาขอนแก่น เขต 3
กุดรู,ต.แวงน้อย อ.แวงน้อย จ.ขอนแก่น 40230,เขตพื้นที่การศึกษาขอนแก่น เขต 3
กอกโนนแต้,ต.โนนธาตุ อ.หนองสองห้อง จ.ขอนแก่น 40190,เขตพื้นที่การศึกษาขอนแก่น เขต 3
กุดหว้า,ต.ดอนดู่ อ.หนองสองห้อง จ.ขอนแก่น 40190,เขตพื้นที่การศึกษาขอนแก่น เขต 3
กุดหอยกาบ,ต.หันโจด อ.หนองสองห้อง จ.ขอนแก่น 40190,เขตพื้นที่การศึกษาขอนแก่น เขต 3
กระหนวนดอนดั่ง,ต.ดอนดั่ง อ.หนองสองห้อง จ.ขอนแก่น 40190,เขตพื้นที่การศึกษาขอนแก่น เขต 3
กุดขอนแก่น,ต.กุดขอนแก่น อ.ภูเวียง จ.ขอนแก่น 40150,เขตพื้นที่การศึกษาขอนแก่น เขต 5
กุดน้ำใส,ต.นาชุมแสง อ.ภูเวียง จ.ขอนแก่น 40150,เขตพื้นที่การศึกษาขอนแก่น เขต 5
กุดแคน,ต.ทุ่งชมพู อ.ภูเวียง จ.ขอนแก่น 40150,เขตพื้นที่การศึกษาขอนแก่น เขต 5
กอกป่าผุวิทยา,ต.สวนหม่อน อ.มัญจาคีรี จ.ขอนแก่น 40160,เขตพื้นที่การศึกษาขอนแก่น เขต 2
กุดเพียขอมนาผาย,ต.กุดเพียขอม อ.ชนบท จ.ขอนแก่น 40180,เขตพื้นที่การศึกษาขอนแก่น เขต 2
กุดเพียขอมเหนือ,ต.กุดเพียขอม อ.ชนบท จ.ขอนแก่น 40180,เขตพื้นที่การศึกษาขอนแก่น เขต 2
กระนวนซำสูง,ต.กระนวน อ.ซำสูง จ.ขอนแก่น 40170,เขตพื้นที่การศึกษาขอนแก่น เขต 4
กุดธาตุ,ต.กุดธาตุ อ.หนองนาคำ จ.ขอนแก่น 40150,เขตพื้นที่การศึกษาขอนแก่น เขต 5
กกสะทอน,ต.บ้านตาด อ.เมืองอุดรธานี จ.อุดรธานี 41000,เขตพื้นที่การศึกษาอุดรธานี เขต 1
กุดจับ,ต.กุดจับ อ.กุดจับ จ.อุดรธานี 41250,เขตพื้นที่การศึกษาอุดรธานี เขต 4
กานต์สามัคคี,ต.ปะโค อ.กุดจับ จ.อุดรธานี 41250,เขตพื้นที่การศึกษาอุดรธานี เขต 4
กงพาน,ต.พันดอน อ.กุมภวาปี จ.อุดรธานี 41370,เขตพื้นที่การศึกษาอุดรธานี เขต 2
กุดยาง,ต.ท่าลี่ อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
กุดจิก,ต.หนองหว้า อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
กระเบื้องโนนทิง,ต.บุ่งแก้ว อ.โนนสะอาด จ.อุดรธานี,เขตพื้นที่การศึกษาอุดรธานี เขต 2
กุดขนวน,ต.บุ่งแก้ว อ.โนนสะอาด จ.อุดรธานี 41240,เขตพื้นที่การศึกษาอุดรธานี เขต 2
กะพี้,ต.ผักตบ อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
กั้งโนนสะอาด,ต.ดอนหายโศก อ.หนองหาน จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
กอก,ต.ศรีธาตุ อ.ศรีธาตุ จ.อุดรธานี 41230,เขตพื้นที่การศึกษาอุดรธานี เขต 2
กุดนาค้อ,ต.ตาดทอง อ.ศรีธาตุ จ.อุดรธานี 41230,เขตพื้นที่การศึกษาอุดรธานี เขต 2
กล้วย,ต.บ้านชัย อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
กุดดู่อุดมวิทย์,ต.นาไหม อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
กำแมดคำเจริญ,ต.วังทอง อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
กาลึม,ต.เมืองพาน อ.บ้านผือ จ.อุดรธานี 41160,เขตพื้นที่การศึกษาอุดรธานี เขต 4
กุดเม็ก,ต.หนองหัวคู อ.บ้านผือ จ.อุดรธานี 41160,เขตพื้นที่การศึกษาอุดรธานี เขต 4
กิ่วดงมะไฟ,ต.นาพู่ อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
กกดู่,ต.กกดู่ อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
กำพี้,ต.กกดู่ อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
กอไร่ใหญ่,ต.เสี้ยว อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
กกชุมแสง,ต.นาโป่ง อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
ก้างปลา,ต.ชัยพฤกษ์ อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
กกทอง,ต.กกทอง อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
กลาง,ต.ปากตม อ.เชียงคาน จ.เลย 42110,เขตพื้นที่การศึกษาเลย เขต 1
กกโพธิ์วังกำ,ต.โพนสูง อ.ด่านซ้าย จ.เลย 42120,เขตพื้นที่การศึกษาเลย เขต 1
กกเหี่ยน,ต.โพนสูง อ.ด่านซ้าย จ.เลย 42120,เขตพื้นที่การศึกษาเลย เขต 1
กกจาน,ต.กกสะทอน อ.ด่านซ้าย จ.เลย 42120,เขตพื้นที่การศึกษาเลย เขต 1
