ทองสัมฤทธิ์,แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ท่าหอย,ต.บางไผ่ อ.บางมูลนาก จ.พิจิตร 66120,เขตพื้นที่การศึกษาพิจิตร เขต 2
ทับทิม,ต.ท่าบัว อ.โพทะเล จ.พิจิตร,เขตพื้นที่การศึกษาพิจิตร เขต 2
ทุ่งธงไชย,ต.หล่มเก่า อ.หล่มเก่า จ.เพชรบูรณ์ 67120,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
ทุ่งหญ้าคมบาง,ต.ดอนแร่ อ.เมืองราชบุรี จ.ราชบุรี 70000,เขตพื้นที่การศึกษาราชบุรี เขต 1
ท่าโขลง(พยุงประชานุกูล),ต.หลุมดิน อ.เมืองราชบุรี จ.ราชบุรี 70000,เขตพื้นที่การศึกษาราชบุรี เขต 1
ท้ายเมือง,ต.พงสวาย อ.เมืองราชบุรี จ.ราชบุรี 70000,เขตพื้นที่การศึกษาราชบุรี เขต 1
ท่าเรือ,ต.แพงพวย อ.ดำเนินสะดวก จ.ราชบุรี 70130,เขตพื้นที่การศึกษาราชบุรี เขต 2
ท่าราบ(วันชัยประชานุกูล),ต.บางแพ อ.บางแพ จ.ราชบุรี 70160,เขตพื้นที่การศึกษาราชบุรี เขต 2
ทำนบ,ต.วัดแก้ว อ.บางแพ จ.ราชบุรี 70160,เขตพื้นที่การศึกษาราชบุรี เขต 2
ท่ามะขาม(ท่ามะขามประชาอุทิศ),ต.ดอนทราย อ.โพธาราม จ.ราชบุรี 70120,เขตพื้นที่การศึกษาราชบุรี เขต 2
ท่าหลวงพล,ต.ท่าชุมพล อ.โพธาราม จ.ราชบุรี 70120,เขตพื้นที่การศึกษาราชบุรี เขต 2
ท่ามะขาม,ต.ท่ามะขาม อ.เมืองกาญจนบุรี จ.กาญจนบุรี 71000,เขตพื้นที่การศึกษากาญจนบุรี เขต 1
ท่าน้ำตื้น,ต.แก่งเสี้ยน อ.เมืองกาญจนบุรี จ.กาญจนบุรี 71000,เขตพื้นที่การศึกษากาญจนบุรี เขต 1
ท่าโป๊ะ,ต.บ้านเก่า อ.เมืองกาญจนบุรี จ.กาญจนบุรี 71000,เขตพื้นที่การศึกษากาญจนบุรี เขต 1
ทุ่งมะสัง(มิตรภาพที่ 9),ต.หนองกุ่ม อ.บ่อพลอย จ.กาญจนบุรี 71160,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
ทุ่งมะกรูด,ต.ดอนชะเอม อ.ท่ามะกา จ.กาญจนบุรี 71120,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
ท่าเรือ(อุตสาหะวิทยาคาร),ต.ท่าเรือ อ.ท่ามะกา จ.กาญจนบุรี 71000,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
ท่ากระทุ่ม,ต.แสนตอ อ.ท่ามะกา จ.กาญจนบุรี 71120,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
ท่าล้อ,ต.ท่าล้อ อ.ท่าม่วง จ.กาญจนบุรี 71000,เขตพื้นที่การศึกษากาญจนบุรี เขต 1
ท่าตะคร้อ,ต.ท่าตะคร้อ อ.ท่าม่วง จ.กาญจนบุรี 71130,เขตพื้นที่การศึกษากาญจนบุรี เขต 1
ทุ่งสมอ,ต.ทุ่งสมอ อ.พนมทวน จ.กาญจนบุรี 71140,เขตพื้นที่การศึกษากาญจนบุรี เขต 2
ท่าช้าง,ต.เขาพระ อ.เดิมบางนางบวช จ.สุพรรณบุรี 72120,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
ท่าเตียน,ต.เดิมบาง อ.เดิมบางนางบวช จ.สุพรรณบุรี 72120,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
ท่าทอง,ต.ปากน้ำ อ.เดิมบางนางบวช จ.สุพรรณบุรี 72120,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
ทุ่งกฐิน,ต.บ่อกรุ อ.เดิมบางนางบวช จ.สุพรรณบุรี 72120,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
ท่ามะนาว,ต.ยางนอน อ.เดิมบางนางบวช จ.สุพรรณบุรี 72120,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
ทับผึ้งน้อย,ต.วังคัน อ.ด่านช้าง จ.สุพรรณบุรี 72180,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
ทรงกระเทียม,ต.สาลี อ.บางปลาม้า จ.สุพรรณบุรี 72150,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 1
ท่ากุ่ม,ต.หนองสาหร่าย อ.ดอนเจดีย์ จ.สุพรรณบุรี 72170,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
ทองประดิษฐ์,ต.บางเลน อ.สองพี่น้อง จ.สุพรรณบุรี 72110,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
ท่าข้าม,ต.บางตาเถร อ.สองพี่น้อง จ.สุพรรณบุรี 72110,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
ท่าไชย,ต.หัวโพธิ์ อ.สองพี่น้อง จ.สุพรรณบุรี 72110,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
ท่าจัด,ต.บางพลับ อ.สองพี่น้อง จ.สุพรรณบุรี 72110,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
ทุ่งคอก,ต.ทุ่งคอก อ.สองพี่น้อง จ.สุพรรณบุรี 72110,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
ทุ่งเข็น,ต.ทุ่งคอก อ.สองพี่น้อง จ.สุพรรณบุรี 72110,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
ทับกระดาน,ต.บ่อสุพรรณ อ.สองพี่น้อง จ.สุพรรณบุรี 72190,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 2
ทุ่งแฝก,ต.วังลึก อ.สามชุก จ.สุพรรณบุรี 72130,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
ท่ามะกรูด,ต.กระเสียว อ.สามชุก จ.สุพรรณบุรี 72130,เขตพื้นที่การศึกษาสุพรรณบุรี เขต 3
ทัพยายท้าว,ต.หนองปากโลง อ.เมืองนครปฐม จ.นครปฐม 73000,เขตพื้นที่การศึกษานครปฐม เขต 1
ทัพหลวง,ต.ทัพหลวง อ.เมืองนครปฐม จ.นครปฐม 73000,เขตพื้นที่การศึกษานครปฐม เขต 1
ทุ่งรี,ต.ทัพหลวง อ.เมืองนครปฐม จ.นครปฐม 73000,เขตพื้นที่การศึกษานครปฐม เขต 1
ทะเลบก,ต.กระตีบ อ.กำแพงแสน จ.นครปฐม 73180,เขตพื้นที่การศึกษานครปฐม เขต 1
ท่าเสา,ต.ห้วยม่วง อ.กำแพงแสน จ.นครปฐม 73180,เขตพื้นที่การศึกษานครปฐม เขต 1
ทุ่งกระพังโหม,ต.กำแพงแสน อ.กำแพงแสน จ.นครปฐม 73140,เขตพื้นที่การศึกษานครปฐม เขต 1
ท่าตำหนัก (เทพวิทยเสถียร),ต.ท่าตำหนัก อ.นครชัยศรี จ.นครปฐม 73120,เขตพื้นที่การศึกษานครปฐม เขต 2
ท้องไทร,ต.แหลมบัว อ.นครชัยศรี จ.นครปฐม 73120,เขตพื้นที่การศึกษานครปฐม เขต 2
ทุ่งน้อย,ต.แหลมบัว อ.นครชัยศรี จ.นครปฐม 73120,เขตพื้นที่การศึกษานครปฐม เขต 2
ทุ่งพิชัย,ต.ห้วยพระ อ.ดอนตูม จ.นครปฐม 73150,เขตพื้นที่การศึกษานครปฐม เขต 1
ทุ่งสีหลง,ต.ลำเหย อ.ดอนตูม จ.นครปฐม 73150,เขตพื้นที่การศึกษานครปฐม เขต 1
ทุ่งผักกูด,ต.ห้วยด้วน อ.ดอนตูม จ.นครปฐม 73150,เขตพื้นที่การศึกษานครปฐม เขต 1
ท่าข้าม,ต.ท่าข้าม อ.สามพราน จ.นครปฐม 73110,เขตพื้นที่การศึกษานครปฐม เขต 2
ทรงคนอง,ต.ทรงคนอง อ.สามพราน จ.นครปฐม 73210,เขตพื้นที่การศึกษานครปฐม เขต 2
ท่าพูด,ต.ไร่ขิง อ.สามพราน จ.นครปฐม 73110,เขตพื้นที่การศึกษานครปฐม เขต 2
ท่ากระบือ(ท่ากระบือพิทยาคาร),ต.บางยาง อ.กระทุ่มแบน จ.สมุทรสาคร 74110,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
ท่าเสา,ต.ท่าเสา อ.กระทุ่มแบน จ.สมุทรสาคร 74110,เขตพื้นที่การศึกษาสมุทรสาคร เขต 1
ท้ายหาด(พลอยเจียเส็ง),ต.ท้ายหาด อ.เมืองสมุทรสงคราม จ.สมุทรสงคราม 75000,เขตพื้นที่การศึกษาสมุทรสงคราม เขต 1
ทองนพคุณ (เจริญราษฎร์วิทยาคาร),ต.บางจาก อ.เมืองเพชรบุรี จ.เพชรบุรี 76000,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
ท้ายตลาด (วิวัฒน์เกษนราประชานุกูล),ต.เขาย้อย อ.เขาย้อย จ.เพชรบุรี 76140,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
ทรงธรรม,ต.หนองชุมพลเหนือ อ.เขาย้อย จ.เพชรบุรี 76140,เขตพื้นที่การศึกษาเพชรบุรี เขต 1
ท่าขาม (สะเทื้อนราษฎร์อุปถัมภ์),ต.ท่าคอย อ.ท่ายาง จ.เพชรบุรี 76130,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
ท่าคอย (สกุณอุปถัมภ์),ต.ท่าคอย อ.ท่ายาง จ.เพชรบุรี 76130,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
ท่าเหว,ต.ท่าแลง อ.ท่ายาง จ.เพชรบุรี 76130,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
ท่าไชยศิริ (เหลื่อมวิทยาคาร),ต.สมอพลือ อ.บ้านลาด จ.เพชรบุรี 76150,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
ท่าศาลาราม (เรือนบุญนาคาลัย),ต.ท่าเสน อ.บ้านลาด จ.เพชรบุรี 76150,เขตพื้นที่การศึกษาเพชรบุรี เขต 2
ทุ่งน้อย,ต.เขาแดง อ.กุยบุรี จ.ประจวบคีรีขันธ์ 77150,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 2
ทุ่งประดู่,ต.ทับสะแก อ.ทับสะแก จ.ประจวบคีรีขันธ์ 77130,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 1
ทุ่งกลาง,ต.เขาล้าน อ.ทับสะแก จ.ประจวบคีรีขันธ์ 77130,เขตพื้นที่การศึกษาประจวบคีรีขันธ์ เขต 1
ท่านคร,ต.ปากนคร อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
ทุ่งแย้,ต.ไชยมนตรี อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
ท่างาม,ต.ท่างิ้ว อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80280,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
ท่าสะท้อน,ต.บางจาก อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80330,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
ท่าแพ,ต.ปากพูน อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
ท่าม่วง,ต.ปากพูน อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
ท้าวโทะ,ต.นาเรียง อ.พรหมคีรี จ.นครศรีธรรมราช 80320,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
ทุ่งนาใหม่,ต.ยางค้อม อ.พิปูน จ.นครศรีธรรมราช 80270,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
ทวยเทพ,ต.บ้านเนิน อ.เชียรใหญ่ จ.นครศรีธรรมราช 80190,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ทาบทอง,ต.ไสหมาก อ.เชียรใหญ่ จ.นครศรีธรรมราช 80190,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ท้ายทะเล,ต.การะเกด อ.เชียรใหญ่ จ.นครศรีธรรมราช 80190,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ทายิการาม,ต.การะเกด อ.เชียรใหญ่ จ.นครศรีธรรมราช 80190,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ทองพูน,ต.เขาพระบาท อ.เชียรใหญ่ จ.นครศรีธรรมราช 80190,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ท่าสะท้อน,ต.ชะอวด อ.ชะอวด จ.นครศรีธรรมราช 80180,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ท่าเสม็ด,ต.ท่าเสม็ด อ.ชะอวด จ.นครศรีธรรมราช 80180,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ทางขึ้น,ต.ท่าขึ้น อ.ท่าศาลา จ.นครศรีธรรมราช 80160,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 4
ทะเลมิตรภาพที่ 151,ต.ควนกรด อ.ทุ่งสง จ.นครศรีธรรมราช 80110,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
ทุ่งส้าน,ต.นาไม้ไผ่ อ.ทุ่งสง จ.นครศรีธรรมราช 92160,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
ทุ่งควายพัฒนศึกษา,ต.เขาโร อ.ทุ่งสง จ.นครศรีธรรมราช 80110,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
ท่ายาง,ต.ท่ายาง อ.ทุ่งใหญ่ จ.นครศรีธรรมราช 80240,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 2
ท่าพญา,ต.บ้านเพิง อ.ปากพนัง จ.นครศรีธรรมราช 80140,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ทุ่งหล่อ,ต.ควนชุม อ.ร่อนพิบูลย์ จ.นครศรีธรรมราช 80130,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ทะเลปัง,ต.หัวไทร อ.หัวไทร จ.นครศรีธรรมราช 80170,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ท้ายโนต,ต.แหลม อ.หัวไทร จ.นครศรีธรรมราช 80170,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ท่าเสริม,ต.ท่าซอม อ.หัวไทร จ.นครศรีธรรมราช 80170,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ทุ่งโพธิ์,ต.ทุ่งโพธิ์ อ.จุฬาภรณ์ จ.นครศรีธรรมราช 80130,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 3
ท่าช้าง,ต.นาพรุ อ.พระพรหม จ.นครศรีธรรมราช 80000,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
ท้ายสำเภา,ต.ท้ายสำเภา อ.พระพรหม จ.นครศรีธรรมราช 80000,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
ทุ่งเฟื้อ อ. เฉลิมพระเกียรติ 80,ต.สวนหลวง อ.เฉลิมพระเกียรติ จ.นครศรีธรรมราช 80190,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
ทางพูน,ต.ทางพูน อ.เฉลิมพระเกียรติ จ.นครศรีธรรมราช 80290,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
ทางพูน สาขาบ้านทุ่งทับควาย,ต.ทางพูน อ.เฉลิมพระเกียรติ จ.นครศรีธรรมราช 80290,เขตพื้นที่การศึกษานครศรีธรรมราช เขต 1
ท่าทอง,ต.บางกุ้ง อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84000,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
ท่าไทร(ดิตถานุเคราะห์),ต.ท่าทองใหม่ อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี 84290,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
ท้องอ่าว,ต.ดอนสัก อ.ดอนสัก จ.สุราษฎร์ธานี 84220,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 1
ท่า,ต.เสวียด อ.ท่าฉาง จ.สุราษฎร์ธานี 84150,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
ท่าเจริญ,ต.ท่าชี อ.บ้านนาสาร จ.สุราษฎร์ธานี 84120,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ทุ่งหลวง,ต.ทุ่งหลวง อ.เวียงสระ จ.สุราษฎร์ธานี 84190,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 3
ท่าตลิ่งชัน,ต.ท่าข้าม อ.พุนพิน จ.สุราษฎร์ธานี 84130,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
ทุ่งเซียด,ต.ท่าโรงช้าง อ.พุนพิน จ.สุราษฎร์ธานี 84130,เขตพื้นที่การศึกษาสุราษฎร์ธานี เขต 2
ทุ่งคา,ต.ทุ่งคา อ.เมืองชุมพร จ.ชุมพร 86100,เขตพื้นที่การศึกษาชุมพร เขต 1
ท่าหิน ( ดรุณศึกษา ),ต.ท่าหิน อ.สวี จ.ชุมพร 86130,เขตพื้นที่การศึกษาชุมพร เขต 2
ท้องตม,ต.ด่านสวี อ.สวี จ.ชุมพร 86130,เขตพื้นที่การศึกษาชุมพร เขต 2
ท่าทอง,ต.ตะโก อ.ทุ่งตะโก จ.ชุมพร 86220,เขตพื้นที่การศึกษาชุมพร เขต 2
ทรายขาว,ต.ทุ่งหวัง อ.เมืองสงขลา จ.สงขลา 90000,เขตพื้นที่การศึกษาสงขลา เขต 1
ทุ่งหวังใน,ต.ทุ่งหวัง อ.เมืองสงขลา จ.สงขลา 90000,เขตพื้นที่การศึกษาสงขลา เขต 1
ท้ายยอ,ต.เกาะยอ อ.เมืองสงขลา จ.สงขลา 90000,เขตพื้นที่การศึกษาสงขลา เขต 1
ท่าหิน,ต.ท่าหิน อ.สทิงพระ จ.สงขลา 90190,เขตพื้นที่การศึกษาสงขลา เขต 1
ทุ่งพระ,ต.ป่าชิง อ.จะนะ จ.สงขลา 90130,เขตพื้นที่การศึกษาสงขลา เขต 3
ท่าประดู่,ต.ท่าประดู่ อ.นาทวี จ.สงขลา 90160,เขตพื้นที่การศึกษาสงขลา เขต 3
ทุ่งข่า,ต.ท่าประดู่ อ.นาทวี จ.สงขลา 90160,เขตพื้นที่การศึกษาสงขลา เขต 3
ทุ่งสงวน,ต.แดนสงวน อ.ระโนด จ.สงขลา 90140,เขตพื้นที่การศึกษาสงขลา เขต 1
ทุ่งบัว,ต.กระแสสินธุ์ อ.กระแสสินธุ์ จ.สงขลา 90270,เขตพื้นที่การศึกษาสงขลา เขต 1
ทุ่งคา,ต.กำแพงเพชร อ.รัตภูมิ จ.สงขลา 90180,เขตพื้นที่การศึกษาสงขลา เขต 2
ท่าแซ,ต.คลองอู่ตะเภา อ.หาดใหญ่ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
ท่าข้าม,ต.ท่าข้าม อ.หาดใหญ่ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
ท่านางหอม,ต.น้ำน้อย อ.หาดใหญ่ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
ทุ่งลุงมิตรภาพที่ 198,ต.พะตง อ.หาดใหญ่ จ.สงขลา 90230,เขตพื้นที่การศึกษาสงขลา เขต 2
ทุ่งฆ้อโฆสิตาราม,ต.นาหม่อม อ.นาหม่อม จ.สงขลา 90310,เขตพื้นที่การศึกษาสงขลา เขต 1
ทุ่งโตนด,ต.นาหม่อม อ.นาหม่อม จ.สงขลา 90310,เขตพื้นที่การศึกษาสงขลา เขต 1
ท่าหยี,ต.ห้วยลึก อ.ควนเนียง จ.สงขลา 90220,เขตพื้นที่การศึกษาสงขลา เขต 2
ท่าเมรุ,ต.บางกล่ำ อ.บางกล่ำ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
ท่าช้าง,ต.ท่าช้าง อ.บางกล่ำ จ.สงขลา 90110,เขตพื้นที่การศึกษาสงขลา เขต 2
ทํานบตางหน,ต.ทำนบ อ.สิงหนคร จ.สงขลา 90280,เขตพื้นที่การศึกษาสงขลา เขต 1
ทุ่งหินผุด,อ.เมืองตรัง จ.ตรัง 92170,เขตพื้นที่การศึกษาตรัง เขต 1
ท่าพญา,อ.ปะเหลียน จ.ตรัง 92140,เขตพื้นที่การศึกษาตรัง เขต 1
ทุ่งใหญ่,อ.วังวิเศษ จ.ตรัง 92000,เขตพื้นที่การศึกษาตรัง เขต 2
ท่าสำเภาใต้,อ.เมืองพัทลุง จ.พัทลุง 93000,เขตพื้นที่การศึกษาพัทลุง เขต 1
ท่าสำเภาเหนือ,อ.เมืองพัทลุง จ.พัทลุง 93000,เขตพื้นที่การศึกษาพัทลุง เขต 1
ท่านางพรหม,อ.เขาชัยสน จ.พัทลุง 93130,เขตพื้นที่การศึกษาพัทลุง เขต 1
ท่าควาย,อ.เขาชัยสน จ.พัทลุง 93130,เขตพื้นที่การศึกษาพัทลุง เขต 1
ทะเลน้อย,อ.ควนขนุน จ.พัทลุง 93150,เขตพื้นที่การศึกษาพัทลุง เขต 1
ทุ่งขึงหนัง,อ.ควนขนุน จ.พัทลุง 93110,เขตพื้นที่การศึกษาพัทลุง เขต 1
ท่าดินแดง,อ.ป่าบอน จ.พัทลุง 93170,เขตพื้นที่การศึกษาพัทลุง เขต 1
ทุ่งยาว (ศิริราษฎร์สามัคคี),อ.ศรีนครินทร์ จ.พัทลุง 93000,เขตพื้นที่การศึกษาพัทลุง เขต 1
ทรายขาว,อ.โคกโพธิ์ จ.ปัตตานี 94120,เขตพื้นที่การศึกษาปัตตานี เขต 2
ทรายขาว,อ.ตากใบ จ.นราธิวาส 96110,เขตพื้นที่การศึกษานราธิวาส เขต 2